■ 입주기관별 업무시스템 통합구축 (APR:Application PortabilityRequirement),,,,,,,,,,,,
,,,,,,,,,,,,
순번,구분,단계,세부 단계,산출물명,관리자,작성 담당자,제출 대상,공문 발신,발주처 승인,인감 날인,제출시기,비고
1,업무전환,착수,현황분석,인터뷰계획서,PL,업무담당자,-,-,-,-,착수,
2,업무전환,착수,현황분석,인터뷰결과서,PL,업무담당자,-,-,-,-,착수,
3,업무전환,착수,현황분석,자원할당확인요청서,PL,업무담당자,O,-,O,-,착수,
4,업무전환,착수,현황분석,요구사항정의서,PL,업무담당자,O,-,O,-,착수,
5,업무전환,설계,현황분석,현황분석서,PL,업무담당자,O,-,O,-,설계,
6,업무전환,설계/,설계,구축계획서,PL,업무담당자,O,-,O,-,설계/,
7,업무전환,구축,구축,통합테스트계획서,PL,업무담당자,O,-,O,-,구축,
8,업무전환,구축,구축,보안취약점 계획서,PL,업무담당자,O,-,O,-,구축,
9,업무전환,구축,구축,보안취약점 결과서,,업무담당자,O,-,O,-,구축,
10,업무전환,구축,구축,구축결과서,PL,업무담당자,O,-,O,-,구축,
11,업무전환,종료,종료,운영매뉴얼,PL,업무담당자,O,-,O,-,종료,
