시트,순번,원본 단계,원본 세부단계,원본 산출물명,등급,등급 설명,방법론,단계 코드,단계명,활동 코드,활동명,작업 코드,작업명,산출물 코드,산출물명,신규 구분,비고
사업관리 (PMR),1,착수 준비,계약,(조달청) 일반용역 계약서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-1,계약체결,PRP-CT-110,계약서,기존,
사업관리 (PMR),2,착수 준비,계약,계약이행보증증권,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,[신규] PRP-CT-4,[신규] 계약보증·서약,[신규] PRP-CT-410,[신규] 계약이행보증증권,신규: 작업·산출물,
사업관리 (PMR),3,착수 준비,사무환경,사무실 협의 및 자리 배치,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-3,투입인원확정,PRP-CT-340,자리배치도,기존,
사업관리 (PMR),4,착수 준비,사무환경,"PC/책상 등 가구/전기, 네트워크",✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,[신규] PRP-AD,[신규] 착수행정,[신규] PRP-AD-1,[신규] 사무환경 준비,[신규] PRP-AD-110,[신규] 사무환경 구축 내역,신규: 활동·작업·산출물,
사업관리 (PMR),5,착수,사무환경,(공문) nTOPS ID 신청서 포함,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,[신규] PRP-AD,[신규] 착수행정,[신규] PRP-AD-2,[신규] 계정·출입 신청,[신규] PRP-AD-210,[신규] 계정·출입 신청 공문,신규: 활동·작업·산출물,
사업관리 (PMR),6,착수,사무환경,(공문) PC IP 신청 포함,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,[신규] PRP-AD,[신규] 착수행정,[신규] PRP-AD-2,[신규] 계정·출입 신청,[신규] PRP-AD-210,[신규] 계정·출입 신청 공문,신규: 활동·작업·산출물,
사업관리 (PMR),7,착수,사무환경,(공문) 통합파일 서버 신청서 포함,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,[신규] PRP-AD,[신규] 착수행정,[신규] PRP-AD-2,[신규] 계정·출입 신청,[신규] PRP-AD-210,[신규] 계정·출입 신청 공문,신규: 활동·작업·산출물,
사업관리 (PMR),8,착수,사무환경,(공문) 투입인력 신원조회 신청,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,[신규] PRP-AD,[신규] 착수행정,[신규] PRP-AD-2,[신규] 계정·출입 신청,[신규] PRP-AD-220,[신규] 신원조회 신청서,신규: 활동·작업·산출물,
사업관리 (PMR),9,착수,사무환경,(공문) 투입인력 임시출입증 신청,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,[신규] PRP-AD,[신규] 착수행정,[신규] PRP-AD-2,[신규] 계정·출입 신청,[신규] PRP-AD-230,[신규] 출입증 신청서,신규: 활동·작업·산출물,
사업관리 (PMR),10,착수,착수계,(공문) 사업 착수계 제출의건,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-2,착수계 제출,PRP-CT-210,착수계,기존,
사업관리 (PMR),11,착수,착수계,(공문 붙임) 사업 착수계,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-2,착수계 제출,PRP-CT-210,착수계,기존,
사업관리 (PMR),12,착수,착수계,(착수계 붙임) 계약책임자계,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-2,착수계 제출,PRP-CT-220,용역책임자계,기존,명칭만 상이
사업관리 (PMR),13,착수,착수계,(착수계 붙임) 청렴 서약서,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,[신규] PRP-CT-4,[신규] 계약보증·서약,[신규] PRP-CT-420,[신규] 청렴서약서,신규: 작업·산출물,
사업관리 (PMR),14,착수,착수계,(착수계 붙임) 보안 서약서(대표자),✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,[신규] PRP-CT-4,[신규] 계약보증·서약,[신규] PRP-CT-430,[신규] 보안서약서(대표자),신규: 작업·산출물,
사업관리 (PMR),15,착수,착수계,(착수계 붙임) 사용인감계,✕,대응 없음 — 표준 트리에 신규 등록 필요,OPMS,PRP,착수계획,PRP-CT,계약,[신규] PRP-CT-4,[신규] 계약보증·서약,[신규] PRP-CT-440,[신규] 사용인감계,신규: 작업·산출물,
사업관리 (PMR),16,착수,착수계,(착수계 붙임) 사업수행계획서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-2,착수계 제출,PRP-CT-230,사업수행계획서,기존,
사업관리 (PMR),17,착수,착수계,(별첨) 산출내역서,◎,정확 대응 — 표준에 동일 산출물이 이미 존재,OPMS,PRP,착수계획,PRP-CT,계약,PRP-CT-2,착수계 제출,PRP-CT-240,산출내역서,기존,
사업관리 (PMR),18,착수,착수계,(별첨) 도입장비 비교표,✕,대응 없음 — 표준 트리에 신규 등록 필요,ECR,[신규] EPR,[신규] 도입준비 (Equipment Preparation),[신규] EPR-SP,[신규] 도입사양 확정,[신규] EPR-SP-1,[신규] 사양 비교,[신규] EPR-SP-110,[신규] 도입자원 비교표,신규: 단계·활동·작업·산출물,인프라 시트 4번과 동일
사업관리 (PMR),19,착수,착수계,(별첨) 제품별 증설 단가표,✕,대응 없음 — 표준 트리에 신규 등록 필요,ECR,[신규] EPR,[신규] 도입준비 (Equipment Preparation),[신규] EPR-SP,[신규] 도입사양 확정,[신규] EPR-SP-1,[신규] 사양 비교,[신규] EPR-SP-120,[신규] 제품별 증설단가표,신규: 단계·활동·작업·산출물,인프라 시트 5번과 동일
사업관리 (PMR),20,착수,착수계,(별첨) 납품계획서,✕,대응 없음 — 표준 트리에 신규 등록 필요,ECR,[신규] EIS,[신규] 설치설계 (Equipment Installation Design),[신규] EIS-PL,[신규] 설치·납품 계획,[신규] EIS-PL-2,[신규] 납품계획,[신규] EIS-PL-210,[신규] 납품계획서,신규: 단계·활동·작업·산출물,인프라 시트 12번과 동일
사업관리 (PMR),21,착수,착수계,(별첨) 설치계획서,✕,대응 없음 — 표준 트리에 신규 등록 필요,ECR,[신규] EIS,[신규] 설치설계 (Equipment Installation Design),[신규] EIS-PL,[신규] 설치·납품 계획,[신규] EIS-PL-1,[신규] 설치계획,[신규] EIS-PL-110,[신규] 설치계획서,신규: 단계·활동·작업·산출물,인프라 시트 10번과 동일
사업관리 (PMR),22,착수,착수계,(별첨) 산출물 목록,○,유사 대응 — 명칭만 다르고 동일 문서로 취급 가능,OPMS,PRP,착수계획,PRP-TL,테일러링,PRP-TL-1,테일러링,PRP-TL-120,테일러링 결과서,기존,산출물 목록 = 테일러링 결과
